,question,type,placeholders,naturalness,difficulty,dbpedia_entities,id,dbpedia_entities_re
0,Please describe Marie Curie's contributions to the field of chemistry.,descriptive,{'person': 'Marie Curie'},high,medium,{'person': 'http://dbpedia.org/resource/Marie_Curie'},0,{'person': 'Marie_Curie'}
1,Explain the relationship between the United Nations and international peacekeeping and its significance.,explanatory,"{'entity A': 'United Nations', 'entity B': 'international peacekeeping'}",high,medium,"{'entity A': 'http://dbpedia.org/resource/United_Nations', 'entity B': 'http://dbpedia.org/resource/Peacekeeping'}",1,"{'entity A': 'United_Nations', 'entity B': 'Peacekeeping'}"
2,"Based on current advancements in artificial intelligence, how do you predict the future of autonomous vehicles will develop?",predictive,"{'entity': 'artificial intelligence', 'event': 'future of autonomous vehicles'}",high,medium,"{'entity': 'http://dbpedia.org/resource/Artificial_intelligence', 'event': 'http://dbpedia.org/resource/Autonomous_car'}",2,"{'entity': 'Artificial_intelligence', 'event': 'Autonomous_car'}"
3,Compare and contrast the educational philosophies of John Dewey and Paulo Freire.,comparative,"{'entity A': 'John Dewey', 'entity B': 'Paulo Freire', 'aspect': 'educational philosophies'}",high,medium,"{'entity A': 'http://dbpedia.org/resource/John_Dewey', 'entity B': 'http://dbpedia.org/resource/Paulo_Freire'}",3,"{'entity A': 'John_Dewey', 'entity B': 'Paulo_Freire'}"
4,How do you evaluate the impact of the Industrial Revolution on modern economic systems? Please explain your viewpoint.,critical,"{'event': 'Industrial Revolution', 'field': 'modern economic systems'}",high,hard,"{'event': 'http://dbpedia.org/resource/Industrial_Revolution', 'field': 'http://dbpedia.org/resource/Economic_system'}",4,"{'event': 'Industrial_Revolution', 'field': 'Economic_system'}"
5,Why did Nelson Mandela choose to pursue reconciliation instead of retribution after his release from prison?,explanatory,"{'person': 'Nelson Mandela', 'action': 'pursue reconciliation instead of retribution', 'time': 'after his release from prison'}",high,medium,{'person': 'http://dbpedia.org/resource/Nelson_Mandela'},5,{'person': 'Nelson_Mandela'}
6,"Based on the current advancements in artificial intelligence, how do you predict the job market will evolve in the next decade?",predictive,"{'current situation': 'advancements in artificial intelligence', 'event': 'job market will evolve in the next decade'}",high,medium,{'current situation': 'http://dbpedia.org/resource/Artificial_intelligence'},6,{'current situation': 'Artificial_intelligence'}
7,Compare and contrast the economic impacts of the Great Depression and the 2008 financial crisis.,comparative,"{'historical event A': 'Great Depression', 'historical event B': '2008 financial crisis', 'aspect': 'economic impacts'}",high,hard,"{'historical event A': 'http://dbpedia.org/resource/Great_Depression', 'historical event B': 'http://dbpedia.org/resource/Financial_crisis_of_2007–2008'}",7,"{'historical event A': 'Great_Depression', 'historical event B': 'Financial_crisis_of_2007–2008'}"
8,How do you evaluate the impact of social media on political campaigns? Please explain your viewpoint.,critical,"{'event': 'social media', 'field': 'political campaigns'}",high,medium,"{'event': 'http://dbpedia.org/resource/Social_media', 'field': 'http://dbpedia.org/resource/Political_campaign'}",8,"{'event': 'Social_media', 'field': 'Political_campaign'}"
9,Please describe Leonardo da Vinci's contributions to art and science.,descriptive,{'person': 'Leonardo da Vinci'},high,medium,{'person': 'http://dbpedia.org/resource/Leonardo_da_Vinci'},9,{'person': 'Leonardo_da_Vinci'}
