,question,type,placeholders,naturalness,difficulty,dbpedia_entities
0,Please describe Marie Curie's contributions to the field of chemistry.,descriptive,{'person': 'Marie Curie'},high,medium,{'person': 'http://dbpedia.org/resource/Marie_Curie'}
1,Explain the relationship between the United Nations and international peacekeeping and its significance.,explanatory,"{'entity A': 'United Nations', 'entity B': 'international peacekeeping'}",high,medium,"{'entity A': 'http://dbpedia.org/resource/United_Nations', 'entity B': 'http://dbpedia.org/resource/Peacekeeping'}"
2,"Based on current advancements in artificial intelligence, how do you predict the future of autonomous vehicles will develop?",predictive,"{'entity': 'artificial intelligence', 'event': 'future of autonomous vehicles'}",high,medium,"{'entity': 'http://dbpedia.org/resource/Artificial_intelligence', 'event': 'http://dbpedia.org/resource/Autonomous_car'}"
3,Compare and contrast the educational philosophies of John Dewey and Paulo Freire.,comparative,"{'entity A': 'John Dewey', 'entity B': 'Paulo Freire', 'aspect': 'educational philosophies'}",high,medium,"{'entity A': 'http://dbpedia.org/resource/John_Dewey', 'entity B': 'http://dbpedia.org/resource/Paulo_Freire'}"
4,How do you evaluate the impact of the Industrial Revolution on modern economic systems? Please explain your viewpoint.,critical,"{'event': 'Industrial Revolution', 'field': 'modern economic systems'}",high,hard,"{'event': 'http://dbpedia.org/resource/Industrial_Revolution', 'field': 'http://dbpedia.org/resource/Economic_system'}"
5,Please describe Marie Curie's contributions to the field of chemistry.,descriptive,{'person': 'Marie Curie'},high,medium,{'person': 'http://dbpedia.org/resource/Marie_Curie'}
6,Why did Nelson Mandela choose to pursue reconciliation instead of retribution after his release from prison?,explanatory,"{'person': 'Nelson Mandela', 'action': 'pursue reconciliation instead of retribution', 'time': 'after his release from prison'}",high,medium,{'person': 'http://dbpedia.org/resource/Nelson_Mandela'}
7,"Based on the current advancements in artificial intelligence, how do you predict the job market will evolve in the next decade?",predictive,"{'current situation': 'advancements in artificial intelligence', 'event': 'job market will evolve in the next decade'}",high,medium,{'current situation': 'http://dbpedia.org/resource/Artificial_intelligence'}
8,Compare and contrast the economic impacts of the Great Depression and the 2008 financial crisis.,comparative,"{'historical event A': 'Great Depression', 'historical event B': '2008 financial crisis', 'aspect': 'economic impacts'}",high,hard,"{'historical event A': 'http://dbpedia.org/resource/Great_Depression', 'historical event B': 'http://dbpedia.org/resource/Financial_crisis_of_2007–2008'}"
9,How do you evaluate the impact of social media on political campaigns? Please explain your viewpoint.,critical,"{'event': 'social media', 'field': 'political campaigns'}",high,medium,"{'event': 'http://dbpedia.org/resource/Social_media', 'field': 'http://dbpedia.org/resource/Political_campaign'}"
10,Please describe Leonardo da Vinci's contributions to art and science.,descriptive,{'person': 'Leonardo da Vinci'},high,medium,{'person': 'http://dbpedia.org/resource/Leonardo_da_Vinci'}
11,Why did Mahatma Gandhi embark on the Salt March in 1930?,explanatory,"{'person': 'Mahatma Gandhi', 'action': 'embark on the Salt March', 'time': '1930'}",high,medium,"{'person': 'http://dbpedia.org/resource/Mahatma_Gandhi', 'action': 'http://dbpedia.org/resource/Salt_March'}"
12,"Based on the current economic trends, how do you predict the global job market will evolve?",predictive,{'event': 'global job market'},high,medium,{'event': 'http://dbpedia.org/resource/Job_market'}
13,Compare and contrast the environmental policies of the United States and China.,comparative,"{'entity A': 'United States', 'entity B': 'China', 'aspect': 'environmental policies'}",high,medium,"{'entity A': 'http://dbpedia.org/resource/United_States', 'entity B': 'http://dbpedia.org/resource/China'}"
14,How do you evaluate the impact of social media on modern political movements? Please explain your viewpoint.,critical,"{'person/event': 'social media', 'field': 'modern political movements'}",high,medium,"{'person/event': 'http://dbpedia.org/resource/Social_media', 'field': 'http://dbpedia.org/resource/Political_movement'}"
15,Provide a detailed description of the background and course of the American Civil War.,descriptive,{'event': 'American Civil War'},high,medium,{'event': 'http://dbpedia.org/resource/American_Civil_War'}
16,Why did Alan Turing take the action of breaking the Enigma code during World War II?,explanatory,"{'person': 'Alan Turing', 'action': 'breaking the Enigma code', 'time': 'World War II'}",high,medium,"{'person': 'http://dbpedia.org/resource/Alan_Turing', 'time': 'http://dbpedia.org/resource/World_War_II'}"
17,"Based on the current situation, how do you predict the development of blockchain technology will unfold?",predictive,{'event': 'development of blockchain technology'},high,hard,{'event': 'http://dbpedia.org/resource/Blockchain'}
18,Compare and contrast the educational philosophies of Maria Montessori and John Dewey in terms of their approach to student-centered learning.,comparative,"{'entity A': 'Maria Montessori', 'entity B': 'John Dewey', 'aspect': 'student-centered learning'}",high,medium,"{'entity A': 'http://dbpedia.org/resource/Maria_Montessori', 'entity B': 'http://dbpedia.org/resource/John_Dewey'}"
19,How do you evaluate the impact of Sigmund Freud’s theories on modern psychology? Please explain your viewpoint.,critical,"{'person/event': 'Sigmund Freud’s theories', 'field': 'modern psychology'}",high,hard,"{'person/event': 'http://dbpedia.org/resource/Sigmund_Freud', 'field': 'http://dbpedia.org/resource/Psychology'}"
20,Describe Leonardo da Vinci's significant contributions during his career.,descriptive,{'person': 'Leonardo da Vinci'},high,medium,{'person': 'http://dbpedia.org/resource/Leonardo_da_Vinci'}
21,Explain the relationship between the Industrial Revolution and urbanization and its significance.,explanatory,"{'entity A': 'Industrial Revolution', 'entity B': 'urbanization'}",high,medium,"{'entity A': 'http://dbpedia.org/resource/Industrial_Revolution', 'entity B': 'http://dbpedia.org/resource/Urbanization'}"
22,"Based on the current state of artificial intelligence, how do you predict AI ethics debates will develop?",predictive,"{'entity': 'artificial intelligence', 'event': 'AI ethics debates'}",high,hard,"{'entity': 'http://dbpedia.org/resource/Artificial_intelligence', 'event': 'http://dbpedia.org/resource/Ethics_of_artificial_intelligence'}"
23,Compare and contrast the economic policies of the New Deal and the Great Society.,comparative,"{'entity A': 'New Deal', 'entity B': 'Great Society', 'aspect': 'economic policies'}",high,medium,"{'entity A': 'http://dbpedia.org/resource/New_Deal', 'entity B': 'http://dbpedia.org/resource/Great_Society'}"
24,How do you evaluate the impact of social media on modern political movements? Please explain your viewpoint.,critical,"{'event': 'social media', 'field': 'modern political movements'}",high,medium,"{'event': 'http://dbpedia.org/resource/Social_media', 'field': 'http://dbpedia.org/resource/Political_movements'}"
25,Please provide a detailed description of the background and course of the American Civil War.,descriptive,{'event': 'American Civil War'},high,medium,{'event': 'http://dbpedia.org/resource/American_Civil_War'}
26,Why did Abraham Lincoln issue the Emancipation Proclamation in 1863?,explanatory,"{'person': 'Abraham Lincoln', 'action': 'issue the Emancipation Proclamation', 'time': '1863'}",high,medium,"{'person': 'http://dbpedia.org/resource/Abraham_Lincoln', 'action': 'http://dbpedia.org/resource/Emancipation_Proclamation', 'time': 'http://dbpedia.org/resource/1863'}"
27,"Based on SpaceX's historical behavior, in which fields do you think it might innovate in the future?",predictive,{'entity': 'SpaceX'},high,medium,{'entity': 'http://dbpedia.org/resource/SpaceX'}
28,Compare and contrast the educational philosophies of John Dewey and Maria Montessori in terms of experiential learning.,comparative,"{'entity A': 'John Dewey', 'entity B': 'Maria Montessori', 'aspect': 'experiential learning'}",high,hard,"{'entity A': 'http://dbpedia.org/resource/John_Dewey', 'entity B': 'http://dbpedia.org/resource/Maria_Montessori'}"
29,How do you evaluate the impact of the Industrial Revolution on modern economic systems? Please explain your viewpoint.,critical,"{'event': 'Industrial Revolution', 'field': 'modern economic systems'}",high,hard,"{'event': 'http://dbpedia.org/resource/Industrial_Revolution', 'field': 'http://dbpedia.org/resource/Economic_system'}"
