,question,type,placeholders,naturalness,difficulty,dbpedia_entities,id,dbpedia_entities_re
0,Compare and contrast the philosophical viewpoints of Socrates and Confucius in terms of ethics.,comparative,"{'entity A': 'Socrates', 'entity B': 'Confucius', 'aspect': 'ethics'}",high,hard,"{'entity A': 'http://dbpedia.org/resource/Socrates', 'entity B': 'http://dbpedia.org/resource/Confucius'}",749,"{'entity A': 'http://dbpedia.org/resource/Socrates', 'entity B': 'http://dbpedia.org/resource/Confucius'}"
1,Compare and contrast the similarities and differences between the Roman Empire and the Ottoman Empire in terms of administration.,comparative,"{'entity A': 'Roman Empire', 'entity B': 'Ottoman Empire', 'aspect': 'administration'}",high,hard,"{'entity A': 'http://dbpedia.org/resource/Roman_Empire', 'entity B': 'http://dbpedia.org/resource/Ottoman_Empire'}",491,"{'entity A': 'http://dbpedia.org/resource/Roman_Empire', 'entity B': 'http://dbpedia.org/resource/Ottoman_Empire'}"
2,Compare and contrast the economic policies of John F. Kennedy and Ronald Reagan.,comparative,"{'entity A': 'John F. Kennedy', 'entity B': 'Ronald Reagan', 'aspect': 'economic policies'}",high,medium,"{'entity A': 'http://dbpedia.org/resource/John_F._Kennedy', 'entity B': 'http://dbpedia.org/resource/Ronald_Reagan', 'aspect': 'http://dbpedia.org/resource/Economic_policy'}",277,"{'entity A': 'http://dbpedia.org/resource/John_F._Kennedy', 'entity B': 'http://dbpedia.org/resource/Ronald_Reagan', 'aspect': 'http://dbpedia.org/resource/Economic_policy'}"
3,Compare and contrast the economic policies of the New Deal and the Great Society.,comparative,"{'entity A': 'New Deal', 'entity B': 'Great Society', 'aspect': 'economic policies'}",high,medium,"{'entity A': 'http://dbpedia.org/resource/New_Deal', 'entity B': 'http://dbpedia.org/resource/Great_Society'}",20,"{'entity A': 'http://dbpedia.org/resource/New_Deal', 'entity B': 'http://dbpedia.org/resource/Great_Society'}"
4,Compare and contrast the healthcare systems of the United States and Canada in terms of accessibility.,comparative,"{'entity A': 'United States', 'entity B': 'Canada', 'aspect': 'accessibility'}",high,medium,"{'entity A': 'http://dbpedia.org/resource/United_States', 'entity B': 'http://dbpedia.org/resource/Canada'}",595,"{'entity A': 'http://dbpedia.org/resource/United_States', 'entity B': 'http://dbpedia.org/resource/Canada'}"
5,Compare and contrast the political impacts of the American Revolution and the French Revolution.,comparative,"{'historical event A': 'American Revolution', 'historical event B': 'French Revolution'}",high,hard,"{'historical event A': 'http://dbpedia.org/resource/American_Revolution', 'historical event B': 'http://dbpedia.org/resource/French_Revolution'}",520,"{'historical event A': 'http://dbpedia.org/resource/American_Revolution', 'historical event B': 'http://dbpedia.org/resource/French_Revolution'}"
6,Compare and contrast the economic policies of Ronald Reagan and Franklin D. Roosevelt in terms of their approaches to economic recovery.,comparative,"{'entity A': 'Ronald Reagan', 'entity B': 'Franklin D. Roosevelt', 'aspect': 'economic recovery'}",high,hard,"{'entity A': 'http://dbpedia.org/resource/Ronald_Reagan', 'entity B': 'http://dbpedia.org/resource/Franklin_D._Roosevelt'}",611,"{'entity A': 'http://dbpedia.org/resource/Ronald_Reagan', 'entity B': 'http://dbpedia.org/resource/Franklin_D._Roosevelt'}"
7,Compare and contrast the educational systems of Finland and the United States in terms of student performance outcomes.,comparative,"{'entity A': 'Finland', 'entity B': 'the United States', 'aspect': 'student performance outcomes'}",high,medium,"{'entity A': 'http://dbpedia.org/resource/Finland', 'entity B': 'http://dbpedia.org/resource/United_States'}",383,"{'entity A': 'http://dbpedia.org/resource/Finland', 'entity B': 'http://dbpedia.org/resource/United_States'}"
8,Compare and contrast the similarities and differences between the leadership styles of Elon Musk and Jeff Bezos.,comparative,"{'entity A': 'Elon Musk', 'entity B': 'Jeff Bezos', 'aspect': 'leadership styles'}",high,medium,"{'entity A': 'http://dbpedia.org/resource/Elon_Musk', 'entity B': 'http://dbpedia.org/resource/Jeff_Bezos'}",516,"{'entity A': 'http://dbpedia.org/resource/Elon_Musk', 'entity B': 'http://dbpedia.org/resource/Jeff_Bezos'}"
9,Compare and contrast the philosophical ideologies of Socrates and Confucius in terms of ethics and morality.,comparative,"{'entity A': 'Socrates', 'entity B': 'Confucius', 'aspect': 'ethics and morality'}",high,medium,"{'entity A': 'http://dbpedia.org/resource/Socrates', 'entity B': 'http://dbpedia.org/resource/Confucius'}",286,"{'entity A': 'http://dbpedia.org/resource/Socrates', 'entity B': 'http://dbpedia.org/resource/Confucius'}"
